source_candidate_ids,建议规范名称,动作,对象,可用区域,数值类型,所属功能域,车辆信号规范来源路径,安卓汽车辅助来源,与现有意图是否重叠,当前对应意图编号,是否拥有现有安全合同,建议运行身份,判定类别,判定依据,原候选覆盖标签
VCC-014,打开发动机舱盖,打开,发动机舱盖,按官方路径区域归并,布尔,车身,Vehicle.Body.Hood.IsOpen,Android VHAL Android 16 VehicleProperty.aidl (按功能名交叉核验),是,HOOD_OPEN,否/待审,现有身份,confirmed_existing,按动作与对象语义直接覆盖，区域差异归并；若为同族多字段则按用户级能力合并。,疑似重复
VCC-015,关闭发动机舱盖,关闭,发动机舱盖,按官方路径区域归并,布尔,车身,Vehicle.Body.Hood.IsOpen,Android VHAL Android 16 VehicleProperty.aidl (按功能名交叉核验),是,HOOD_CLOSE,否/待审,现有身份,confirmed_existing,按动作与对象语义直接覆盖，区域差异归并；若为同族多字段则按用户级能力合并。,疑似重复
VCC-018,开启喇叭,开启,喇叭,按官方路径区域归并,布尔,车身,Vehicle.Body.Horn.IsActive,VEHICLE_HORN_ENGAGED,是,HORN_ACTIVATE,否/待审,现有身份,confirmed_existing,按动作与对象语义直接覆盖，区域差异归并；若为同族多字段则按用户级能力合并。,疑似重复
VCC-022;VCC-024;VCC-028;VCC-030;VCC-032;VCC-037;VCC-039,开启灯光,开启,灯光,按官方路径区域归并,布尔,车身,Vehicle.Body.Lights.Beam.High.IsOn; Vehicle.Body.Lights.Beam.Low.IsOn; Vehicle.Body.Lights.DirectionIndicator.Left.IsSignaling; Vehicle.Body.Lights.DirectionIndicator.Right.IsSignaling; Vehicle.Body.Lights.Fog.Rear.IsOn; Vehicle.Body.Lights.Fog.Front.IsOn; Vehicle.Body.Lights.Hazard.IsSignaling; Vehicle.Body.Lights.Parking.IsOn; Vehicle.Body.Lights.Running.IsOn,TURN_SIGNAL_LIGHT_STATE; SEAT_FOOTWELL_LIGHTS_STATE; SEAT_FOOTWELL_LIGHTS_SWITCH; HEADLIGHTS_STATE; HIGH_BEAM_LIGHTS_STATE; FOG_LIGHTS_STATE; HAZARD_LIGHTS_STATE; HEADLIGHTS_SWITCH; HIGH_BEAM_LIGHTS_SWITCH; FOG_LIGHTS_SWITCH; HAZARD_LIGHTS_SWITCH; CABIN_LIGHTS_STATE; CABIN_LIGHTS_SWITCH; READING_LIGHTS_STATE; READING_LIGHTS_SWITCH; STEERING_WHEEL_LIGHTS_STATE; STEERING_WHEEL_LIGHTS_SWITCH; FRONT_FOG_LIGHTS_STATE; FRONT_FOG_LIGHTS_SWITCH; REAR_FOG_LIGHTS_STATE; REAR_FOG_LIGHTS_SWITCH,是,LIGHT_GENERIC,否/待审,现有身份,confirmed_existing,按动作与对象语义直接覆盖，区域差异归并；若为同族多字段则按用户级能力合并。,疑似重复
VCC-023;VCC-025;VCC-029;VCC-031;VCC-033;VCC-038;VCC-040,关闭灯光,关闭,灯光,按官方路径区域归并,布尔,车身,Vehicle.Body.Lights.Beam.High.IsOn; Vehicle.Body.Lights.Beam.Low.IsOn; Vehicle.Body.Lights.DirectionIndicator.Left.IsSignaling; Vehicle.Body.Lights.DirectionIndicator.Right.IsSignaling; Vehicle.Body.Lights.Fog.Rear.IsOn; Vehicle.Body.Lights.Fog.Front.IsOn; Vehicle.Body.Lights.Hazard.IsSignaling; Vehicle.Body.Lights.Parking.IsOn; Vehicle.Body.Lights.Running.IsOn,TURN_SIGNAL_LIGHT_STATE; SEAT_FOOTWELL_LIGHTS_STATE; SEAT_FOOTWELL_LIGHTS_SWITCH; HEADLIGHTS_STATE; HIGH_BEAM_LIGHTS_STATE; FOG_LIGHTS_STATE; HAZARD_LIGHTS_STATE; HEADLIGHTS_SWITCH; HIGH_BEAM_LIGHTS_SWITCH; FOG_LIGHTS_SWITCH; HAZARD_LIGHTS_SWITCH; CABIN_LIGHTS_STATE; CABIN_LIGHTS_SWITCH; READING_LIGHTS_STATE; READING_LIGHTS_SWITCH; STEERING_WHEEL_LIGHTS_STATE; STEERING_WHEEL_LIGHTS_SWITCH; FRONT_FOG_LIGHTS_STATE; FRONT_FOG_LIGHTS_SWITCH; REAR_FOG_LIGHTS_STATE; REAR_FOG_LIGHTS_SWITCH,是,LIGHT_GENERIC,否/待审,现有身份,confirmed_existing,按动作与对象语义直接覆盖，区域差异归并；若为同族多字段则按用户级能力合并。,疑似重复
VCC-036,设置模式灯光,设置模式,灯光,按官方路径区域归并,枚举,车身,Vehicle.Body.Lights.LightSwitch,TURN_SIGNAL_LIGHT_STATE; SEAT_FOOTWELL_LIGHTS_STATE; SEAT_FOOTWELL_LIGHTS_SWITCH; HEADLIGHTS_STATE; HIGH_BEAM_LIGHTS_STATE; FOG_LIGHTS_STATE; HAZARD_LIGHTS_STATE; HEADLIGHTS_SWITCH; HIGH_BEAM_LIGHTS_SWITCH; FOG_LIGHTS_SWITCH; HAZARD_LIGHTS_SWITCH; CABIN_LIGHTS_STATE; CABIN_LIGHTS_SWITCH; READING_LIGHTS_STATE; READING_LIGHTS_SWITCH; STEERING_WHEEL_LIGHTS_STATE; STEERING_WHEEL_LIGHTS_SWITCH; FRONT_FOG_LIGHTS_STATE; FRONT_FOG_LIGHTS_SWITCH; REAR_FOG_LIGHTS_STATE; REAR_FOG_LIGHTS_SWITCH,是,HEADLIGHT_SET_MODE,否/待审,现有身份,confirmed_existing,按动作与对象语义直接覆盖，区域差异归并；若为同族多字段则按用户级能力合并。,缺失候选
VCC-041,打开后视镜,打开,后视镜,按官方路径区域归并,布尔,车身,Vehicle.Body.Mirrors.DriverSide.IsFolded; Vehicle.Body.Mirrors.PassengerSide.IsFolded,HVAC_SIDE_MIRROR_HEAT; MIRROR_Z_POS; MIRROR_Z_MOVE; MIRROR_Y_POS; MIRROR_Y_MOVE; MIRROR_LOCK; MIRROR_FOLD; MIRROR_AUTO_FOLD_ENABLED; MIRROR_AUTO_TILT_ENABLED,是,MIRROR_UNFOLD,否/待审,现有身份,confirmed_existing,按动作与对象语义直接覆盖，区域差异归并；若为同族多字段则按用户级能力合并。,疑似重复
VCC-042;VCC-044,关闭后视镜,关闭,后视镜,按官方路径区域归并,布尔,车身,Vehicle.Body.Mirrors.DriverSide.IsFolded; Vehicle.Body.Mirrors.PassengerSide.IsFolded; Vehicle.Body.Mirrors.DriverSide.IsHeatingOn; Vehicle.Body.Mirrors.PassengerSide.IsHeatingOn,HVAC_SIDE_MIRROR_HEAT; MIRROR_Z_POS; MIRROR_Z_MOVE; MIRROR_Y_POS; MIRROR_Y_MOVE; MIRROR_LOCK; MIRROR_FOLD; MIRROR_AUTO_FOLD_ENABLED; MIRROR_AUTO_TILT_ENABLED,是,MIRROR_FOLD;MIRROR_HEATING_OFF,否/待审,现有身份,confirmed_existing,按动作与对象语义直接覆盖，区域差异归并；若为同族多字段则按用户级能力合并。,疑似重复
VCC-043,开启后视镜,开启,后视镜,按官方路径区域归并,布尔,车身,Vehicle.Body.Mirrors.DriverSide.IsHeatingOn; Vehicle.Body.Mirrors.PassengerSide.IsHeatingOn,HVAC_SIDE_MIRROR_HEAT; MIRROR_Z_POS; MIRROR_Z_MOVE; MIRROR_Y_POS; MIRROR_Y_MOVE; MIRROR_LOCK; MIRROR_FOLD; MIRROR_AUTO_FOLD_ENABLED; MIRROR_AUTO_TILT_ENABLED,是,MIRROR_HEATING_ON,否/待审,现有身份,confirmed_existing,按动作与对象语义直接覆盖，区域差异归并；若为同族多字段则按用户级能力合并。,疑似重复
VCC-045,锁定后视镜,锁定,后视镜,按官方路径区域归并,布尔,车身,Vehicle.Body.Mirrors.DriverSide.IsLocked; Vehicle.Body.Mirrors.PassengerSide.IsLocked,HVAC_SIDE_MIRROR_HEAT; MIRROR_Z_POS; MIRROR_Z_MOVE; MIRROR_Y_POS; MIRROR_Y_MOVE; MIRROR_LOCK; MIRROR_FOLD; MIRROR_AUTO_FOLD_ENABLED; MIRROR_AUTO_TILT_ENABLED,是,MIRROR_ADJUSTMENT_LOCK,是,现有身份,confirmed_existing,按动作与对象语义直接覆盖，区域差异归并；若为同族多字段则按用户级能力合并。,已覆盖-正式
VCC-046,解锁后视镜,解锁,后视镜,按官方路径区域归并,布尔,车身,Vehicle.Body.Mirrors.DriverSide.IsLocked; Vehicle.Body.Mirrors.PassengerSide.IsLocked,HVAC_SIDE_MIRROR_HEAT; MIRROR_Z_POS; MIRROR_Z_MOVE; MIRROR_Y_POS; MIRROR_Y_MOVE; MIRROR_LOCK; MIRROR_FOLD; MIRROR_AUTO_FOLD_ENABLED; MIRROR_AUTO_TILT_ENABLED,是,MIRROR_ADJUSTMENT_UNLOCK,是,现有身份,confirmed_existing,按动作与对象语义直接覆盖，区域差异归并；若为同族多字段则按用户级能力合并。,已覆盖-正式
VCC-047;VCC-048;VCC-049,设置后视镜,设置,后视镜,按官方路径区域归并,连续数值,车身,Vehicle.Body.Mirrors.DriverSide.Pan; Vehicle.Body.Mirrors.PassengerSide.Pan; Vehicle.Body.Mirrors.DriverSide.Tilt; Vehicle.Body.Mirrors.PassengerSide.Tilt; Vehicle.Body.Mirrors.DriverSide.Yaw; Vehicle.Body.Mirrors.PassengerSide.Yaw,HVAC_SIDE_MIRROR_HEAT; MIRROR_Z_POS; MIRROR_Z_MOVE; MIRROR_Y_POS; MIRROR_Y_MOVE; MIRROR_LOCK; MIRROR_FOLD; MIRROR_AUTO_FOLD_ENABLED; MIRROR_AUTO_TILT_ENABLED,是,MIRROR_SET_ANGLE,否/待审,现有身份,confirmed_existing,按动作与对象语义直接覆盖，区域差异归并；若为同族多字段则按用户级能力合并。,缺失候选
VCC-052,锁定后备箱,锁定,后备箱,按官方路径区域归并,布尔,车身,Vehicle.Body.Trunk.Front.IsLocked; Vehicle.Body.Trunk.Rear.IsLocked,Android VHAL Android 16 VehicleProperty.aidl (按功能名交叉核验),是,TRUNK_LOCK,是,现有身份,confirmed_existing,按动作与对象语义直接覆盖，区域差异归并；若为同族多字段则按用户级能力合并。,已覆盖-正式
VCC-053,解锁后备箱,解锁,后备箱,按官方路径区域归并,布尔,车身,Vehicle.Body.Trunk.Front.IsLocked; Vehicle.Body.Trunk.Rear.IsLocked,Android VHAL Android 16 VehicleProperty.aidl (按功能名交叉核验),是,TRUNK_UNLOCK,是,现有身份,confirmed_existing,按动作与对象语义直接覆盖，区域差异归并；若为同族多字段则按用户级能力合并。,已覆盖-正式
VCC-054,打开后备箱,打开,后备箱,按官方路径区域归并,布尔,车身,Vehicle.Body.Trunk.Front.IsOpen; Vehicle.Body.Trunk.Rear.IsOpen,Android VHAL Android 16 VehicleProperty.aidl (按功能名交叉核验),是,TRUNK_OPEN,否/待审,现有身份,confirmed_existing,按动作与对象语义直接覆盖，区域差异归并；若为同族多字段则按用户级能力合并。,疑似重复
VCC-055,关闭后备箱,关闭,后备箱,按官方路径区域归并,布尔,车身,Vehicle.Body.Trunk.Front.IsOpen; Vehicle.Body.Trunk.Rear.IsOpen,Android VHAL Android 16 VehicleProperty.aidl (按功能名交叉核验),是,TRUNK_CLOSE,否/待审,现有身份,confirmed_existing,按动作与对象语义直接覆盖，区域差异归并；若为同族多字段则按用户级能力合并。,疑似重复
VCC-056,设置后备箱,设置,后备箱,按官方路径区域归并,连续数值,车身,Vehicle.Body.Trunk.Front.Position; Vehicle.Body.Trunk.Rear.Position,Android VHAL Android 16 VehicleProperty.aidl (按功能名交叉核验),是,TRUNK_SET_POSITION,否/待审,现有身份,confirmed_existing,按动作与对象语义直接覆盖，区域差异归并；若为同族多字段则按用户级能力合并。,缺失候选
VCC-058,开启雨刮,开启,雨刮,按官方路径区域归并,布尔,车身,Vehicle.Body.Windshield.Front.IsHeatingOn; Vehicle.Body.Windshield.Rear.IsHeatingOn,Android VHAL Android 16 VehicleProperty.aidl (按功能名交叉核验),是,MIRROR_HEATING_ON,否/待审,现有身份,confirmed_existing,按动作与对象语义直接覆盖，区域差异归并；若为同族多字段则按用户级能力合并。,疑似重复
VCC-059,关闭雨刮,关闭,雨刮,按官方路径区域归并,布尔,车身,Vehicle.Body.Windshield.Front.IsHeatingOn; Vehicle.Body.Windshield.Rear.IsHeatingOn,Android VHAL Android 16 VehicleProperty.aidl (按功能名交叉核验),是,MIRROR_HEATING_OFF,否/待审,现有身份,confirmed_existing,按动作与对象语义直接覆盖，区域差异归并；若为同族多字段则按用户级能力合并。,疑似重复
VCC-060,设置雨刮,设置,雨刮,按官方路径区域归并,连续数值,车身,Vehicle.Body.Windshield.Front.Wiping.Intensity; Vehicle.Body.Windshield.Rear.Wiping.Intensity,Android VHAL Android 16 VehicleProperty.aidl (按功能名交叉核验),是,WIPER_SET_SENSITIVITY,否/待审,现有身份,confirmed_existing,按动作与对象语义直接覆盖，区域差异归并；若为同族多字段则按用户级能力合并。,缺失候选
VCC-061,设置模式雨刮,设置模式,雨刮,按官方路径区域归并,枚举,车身,Vehicle.Body.Windshield.Front.Wiping.Mode; Vehicle.Body.Windshield.Rear.Wiping.Mode,Android VHAL Android 16 VehicleProperty.aidl (按功能名交叉核验),是,WIPER_SET_MODE,否/待审,现有身份,confirmed_existing,按动作与对象语义直接覆盖，区域差异归并；若为同族多字段则按用户级能力合并。,缺失候选
VCC-062,锁定车门,锁定,车门,按官方路径区域归并,布尔,座舱,Vehicle.Cabin.Door.Row1.DriverSide.IsLocked; Vehicle.Cabin.Door.Row1.PassengerSide.IsLocked; Vehicle.Cabin.Door.Row2.DriverSide.IsLocked; Vehicle.Cabin.Door.Row2.PassengerSide.IsLocked,INFO_FUEL_DOOR_LOCATION; FUEL_DOOR_OPEN; DOOR_POS; DOOR_MOVE; DOOR_LOCK; DOOR_CHILD_LOCK_ENABLED; GLOVE_BOX_DOOR_POS,是,DOOR_LOCK,是,现有身份,confirmed_existing,按动作与对象语义直接覆盖，区域差异归并；若为同族多字段则按用户级能力合并。,已覆盖-正式
VCC-063,解锁车门,解锁,车门,按官方路径区域归并,布尔,座舱,Vehicle.Cabin.Door.Row1.DriverSide.IsLocked; Vehicle.Cabin.Door.Row1.PassengerSide.IsLocked; Vehicle.Cabin.Door.Row2.DriverSide.IsLocked; Vehicle.Cabin.Door.Row2.PassengerSide.IsLocked,INFO_FUEL_DOOR_LOCATION; FUEL_DOOR_OPEN; DOOR_POS; DOOR_MOVE; DOOR_LOCK; DOOR_CHILD_LOCK_ENABLED; GLOVE_BOX_DOOR_POS,是,DOOR_UNLOCK,是,现有身份,confirmed_existing,按动作与对象语义直接覆盖，区域差异归并；若为同族多字段则按用户级能力合并。,已覆盖-正式
VCC-064;VCC-067,打开车门,打开,车门,按官方路径区域归并,布尔,座舱,Vehicle.Cabin.Door.Row1.DriverSide.IsOpen; Vehicle.Cabin.Door.Row1.PassengerSide.IsOpen; Vehicle.Cabin.Door.Row2.DriverSide.IsOpen; Vehicle.Cabin.Door.Row2.PassengerSide.IsOpen; Vehicle.Cabin.Door.Row1.DriverSide.Shade.IsOpen; Vehicle.Cabin.Door.Row1.PassengerSide.Shade.IsOpen; Vehicle.Cabin.Door.Row2.DriverSide.Shade.IsOpen; Vehicle.Cabin.Door.Row2.PassengerSide.Shade.IsOpen,INFO_FUEL_DOOR_LOCATION; FUEL_DOOR_OPEN; DOOR_POS; DOOR_MOVE; DOOR_LOCK; DOOR_CHILD_LOCK_ENABLED; GLOVE_BOX_DOOR_POS,是,DOOR_OPEN;SHADE_OPEN,否/待审,现有身份,confirmed_existing,按动作与对象语义直接覆盖，区域差异归并；若为同族多字段则按用户级能力合并。,疑似重复
VCC-065;VCC-068,关闭车门,关闭,车门,按官方路径区域归并,布尔,座舱,Vehicle.Cabin.Door.Row1.DriverSide.IsOpen; Vehicle.Cabin.Door.Row1.PassengerSide.IsOpen; Vehicle.Cabin.Door.Row2.DriverSide.IsOpen; Vehicle.Cabin.Door.Row2.PassengerSide.IsOpen; Vehicle.Cabin.Door.Row1.DriverSide.Shade.IsOpen; Vehicle.Cabin.Door.Row1.PassengerSide.Shade.IsOpen; Vehicle.Cabin.Door.Row2.DriverSide.Shade.IsOpen; Vehicle.Cabin.Door.Row2.PassengerSide.Shade.IsOpen,INFO_FUEL_DOOR_LOCATION; FUEL_DOOR_OPEN; DOOR_POS; DOOR_MOVE; DOOR_LOCK; DOOR_CHILD_LOCK_ENABLED; GLOVE_BOX_DOOR_POS,是,DOOR_CLOSE;SHADE_CLOSE,否/待审,现有身份,confirmed_existing,按动作与对象语义直接覆盖，区域差异归并；若为同族多字段则按用户级能力合并。,疑似重复
VCC-066;VCC-069,设置车门,设置,车门,按官方路径区域归并,连续数值,座舱,Vehicle.Cabin.Door.Row1.DriverSide.Position; Vehicle.Cabin.Door.Row1.PassengerSide.Position; Vehicle.Cabin.Door.Row2.DriverSide.Position; Vehicle.Cabin.Door.Row2.PassengerSide.Position; Vehicle.Cabin.Door.Row1.DriverSide.Shade.Position; Vehicle.Cabin.Door.Row1.PassengerSide.Shade.Position; Vehicle.Cabin.Door.Row2.DriverSide.Shade.Position; Vehicle.Cabin.Door.Row2.PassengerSide.Shade.Position,INFO_FUEL_DOOR_LOCATION; FUEL_DOOR_OPEN; DOOR_POS; DOOR_MOVE; DOOR_LOCK; DOOR_CHILD_LOCK_ENABLED; GLOVE_BOX_DOOR_POS,是,DOOR_SET_POSITION;SHADE_SET_POSITION,否/待审,现有身份,confirmed_existing,按动作与对象语义直接覆盖，区域差异归并；若为同族多字段则按用户级能力合并。,缺失候选
VCC-072,打开车窗,打开,车窗,按官方路径区域归并,布尔,座舱,Vehicle.Cabin.Door.Row1.DriverSide.Window.IsOpen; Vehicle.Cabin.Door.Row1.PassengerSide.Window.IsOpen; Vehicle.Cabin.Door.Row2.DriverSide.Window.IsOpen; Vehicle.Cabin.Door.Row2.PassengerSide.Window.IsOpen,INFO_FUEL_DOOR_LOCATION; FUEL_DOOR_OPEN; DOOR_POS; DOOR_MOVE; DOOR_LOCK; DOOR_CHILD_LOCK_ENABLED; WINDOW_POS; WINDOW_MOVE; WINDOW_LOCK; GLOVE_BOX_DOOR_POS,是,WINDOW_OPEN,否/待审,现有身份,confirmed_existing,按动作与对象语义直接覆盖，区域差异归并；若为同族多字段则按用户级能力合并。,疑似重复
VCC-073,关闭车窗,关闭,车窗,按官方路径区域归并,布尔,座舱,Vehicle.Cabin.Door.Row1.DriverSide.Window.IsOpen; Vehicle.Cabin.Door.Row1.PassengerSide.Window.IsOpen; Vehicle.Cabin.Door.Row2.DriverSide.Window.IsOpen; Vehicle.Cabin.Door.Row2.PassengerSide.Window.IsOpen,INFO_FUEL_DOOR_LOCATION; FUEL_DOOR_OPEN; DOOR_POS; DOOR_MOVE; DOOR_LOCK; DOOR_CHILD_LOCK_ENABLED; WINDOW_POS; WINDOW_MOVE; WINDOW_LOCK; GLOVE_BOX_DOOR_POS,是,WINDOW_CLOSE,否/待审,现有身份,confirmed_existing,按动作与对象语义直接覆盖，区域差异归并；若为同族多字段则按用户级能力合并。,疑似重复
VCC-074,设置车窗,设置,车窗,按官方路径区域归并,连续数值,座舱,Vehicle.Cabin.Door.Row1.DriverSide.Window.Position; Vehicle.Cabin.Door.Row1.PassengerSide.Window.Position; Vehicle.Cabin.Door.Row2.DriverSide.Window.Position; Vehicle.Cabin.Door.Row2.PassengerSide.Window.Position,INFO_FUEL_DOOR_LOCATION; FUEL_DOOR_OPEN; DOOR_POS; DOOR_MOVE; DOOR_LOCK; DOOR_CHILD_LOCK_ENABLED; WINDOW_POS; WINDOW_MOVE; WINDOW_LOCK; GLOVE_BOX_DOOR_POS,是,WINDOW_SET_POSITION,否/待审,现有身份,confirmed_existing,按动作与对象语义直接覆盖，区域差异归并；若为同族多字段则按用户级能力合并。,缺失候选
VCC-076;VCC-078;VCC-080;VCC-082,开启空调,开启,空调,按官方路径区域归并,布尔,座舱,Vehicle.Cabin.HVAC.IsAirConditioningActive; Vehicle.Cabin.HVAC.IsFrontDefrosterActive; Vehicle.Cabin.HVAC.IsRearDefrosterActive; Vehicle.Cabin.HVAC.IsRecirculationActive,HVAC_FAN_SPEED; HVAC_FAN_DIRECTION; HVAC_TEMPERATURE_CURRENT; HVAC_TEMPERATURE_SET; HVAC_DEFROSTER; HVAC_AC_ON; HVAC_MAX_AC_ON; HVAC_MAX_DEFROST_ON; HVAC_RECIRC_ON; HVAC_DUAL_ON; HVAC_AUTO_ON; HVAC_SEAT_TEMPERATURE; HVAC_SIDE_MIRROR_HEAT; HVAC_STEERING_WHEEL_HEAT; HVAC_TEMPERATURE_DISPLAY_UNITS; HVAC_ACTUAL_FAN_SPEED_RPM; HVAC_POWER_ON; HVAC_FAN_DIRECTION_AVAILABLE; HVAC_AUTO_RECIRC_ON; HVAC_SEAT_VENTILATION; HVAC_ELECTRIC_DEFROSTER_ON; HVAC_TEMPERATURE_VALUE_SUGGESTION,是,HVAC_ON;DEFROST_ON;HVAC_SET_RECIRCULATION,是,现有身份,confirmed_existing,按动作与对象语义直接覆盖，区域差异归并；若为同族多字段则按用户级能力合并。,已覆盖-正式
VCC-077;VCC-079;VCC-081;VCC-083,关闭空调,关闭,空调,按官方路径区域归并,布尔,座舱,Vehicle.Cabin.HVAC.IsAirConditioningActive; Vehicle.Cabin.HVAC.IsFrontDefrosterActive; Vehicle.Cabin.HVAC.IsRearDefrosterActive; Vehicle.Cabin.HVAC.IsRecirculationActive,HVAC_FAN_SPEED; HVAC_FAN_DIRECTION; HVAC_TEMPERATURE_CURRENT; HVAC_TEMPERATURE_SET; HVAC_DEFROSTER; HVAC_AC_ON; HVAC_MAX_AC_ON; HVAC_MAX_DEFROST_ON; HVAC_RECIRC_ON; HVAC_DUAL_ON; HVAC_AUTO_ON; HVAC_SEAT_TEMPERATURE; HVAC_SIDE_MIRROR_HEAT; HVAC_STEERING_WHEEL_HEAT; HVAC_TEMPERATURE_DISPLAY_UNITS; HVAC_ACTUAL_FAN_SPEED_RPM; HVAC_POWER_ON; HVAC_FAN_DIRECTION_AVAILABLE; HVAC_AUTO_RECIRC_ON; HVAC_SEAT_VENTILATION; HVAC_ELECTRIC_DEFROSTER_ON; HVAC_TEMPERATURE_VALUE_SUGGESTION,是,HVAC_OFF;DEFROST_OFF;HVAC_SET_RECIRCULATION,是,现有身份,confirmed_existing,按动作与对象语义直接覆盖，区域差异归并；若为同族多字段则按用户级能力合并。,已覆盖-正式
