candidate_id,recommended_semantic,action,object,area_capability,value_type,allowed_or_range,official_primary_source_path,official_primary_type,official_primary_datatype,official_primary_unit,official_primary_description,official_auxiliary_source,source_group_key,raw_actuator_nodes,android_auxiliary_candidates,current_coverage_status,current_intent_ids,user_controllable,suspected_duplicate,recommend_add_to_understandable_space,complete_safety_contract
VCC-011,DISABLE EBA 停用,DISABLE,EBA,按官方路径区域归并,布尔,,Vehicle.ADAS.EBA.IsEnabled,actuator,boolean,,Indicates if EBA is enabled. True = Enabled. False = Disabled.,Android VHAL Android 16 VehicleProperty.aidl (按功能名交叉核验),Vehicle.ADAS.EBA.IsEnabled,1,,疑似重复,ESC_DISABLE; CRUISE_DISABLE,是,是,是,否/待审
VCC-012,ENABLE ESC 启用,ENABLE,ESC,按官方路径区域归并,布尔,,Vehicle.ADAS.ESC.IsEnabled,actuator,boolean,,Indicates if ESC is enabled. True = Enabled. False = Disabled.,Android VHAL Android 16 VehicleProperty.aidl (按功能名交叉核验),Vehicle.ADAS.ESC.IsEnabled,1,,疑似重复,ESC_ENABLE; CRUISE_ENABLE,是,是,是,否/待审
VCC-013,DISABLE ESC 停用,DISABLE,ESC,按官方路径区域归并,布尔,,Vehicle.ADAS.ESC.IsEnabled,actuator,boolean,,Indicates if ESC is enabled. True = Enabled. False = Disabled.,Android VHAL Android 16 VehicleProperty.aidl (按功能名交叉核验),Vehicle.ADAS.ESC.IsEnabled,1,,疑似重复,ESC_DISABLE; CRUISE_DISABLE,是,是,是,否/待审
VCC-014,OPEN HOOD 开,OPEN,HOOD,按官方路径区域归并,布尔,,Vehicle.Body.Hood.IsOpen,actuator,boolean,,Is item open or closed? True = Fully or partially open. False = Fully closed.,Android VHAL Android 16 VehicleProperty.aidl (按功能名交叉核验),Vehicle.Body.Hood.IsOpen,1,,疑似重复,TRUNK_OPEN; HOOD_OPEN,是,是,是,否/待审
VCC-015,CLOSE HOOD 关,CLOSE,HOOD,按官方路径区域归并,布尔,,Vehicle.Body.Hood.IsOpen,actuator,boolean,,Is item open or closed? True = Fully or partially open. False = Fully closed.,Android VHAL Android 16 VehicleProperty.aidl (按功能名交叉核验),Vehicle.Body.Hood.IsOpen,1,,疑似重复,TRUNK_CLOSE; HOOD_CLOSE,是,是,是,否/待审
VCC-016,SET HOOD Position,SET,HOOD,按官方路径区域归并,连续数值,0..100,Vehicle.Body.Hood.Position,actuator,uint8,percent,Item position. 0 = Start position 100 = End position.,Android VHAL Android 16 VehicleProperty.aidl (按功能名交叉核验),Vehicle.Body.Hood.Position,1,,缺失候选,,否,否,是,否/待审
VCC-017,SWITCH_MODE HOOD Switch,SWITCH_MODE,HOOD,按官方路径区域归并,枚举,CLOSE; INACTIVE; ONE_SHOT_CLOSE; ONE_SHOT_OPEN; OPEN,Vehicle.Body.Hood.Switch,actuator,string,,"Switch controlling sliding action such as window, sunroof, or blind.",Android VHAL Android 16 VehicleProperty.aidl (按功能名交叉核验),Vehicle.Body.Hood.Switch,1,,疑似重复,HEADLIGHT_SET_MODE; WIPER_SET_MODE,是,是,是,否/待审
VCC-018,TURN_ON HORN 开启,TURN_ON,HORN,按官方路径区域归并,布尔,,Vehicle.Body.Horn.IsActive,actuator,boolean,,Horn active or inactive. True = Active. False = Inactive.,Android VHAL Android 16 VehicleProperty.aidl (按功能名交叉核验),Vehicle.Body.Horn.IsActive,1,VEHICLE_HORN_ENGAGED,疑似重复,MIRROR_HEATING_ON; WINDSHIELD_HEATING_ON; HAZARD_LIGHT_ON; TURN_INDICATOR_ON; LOW_BEAM_ON; HIGH_BEAM_ON; FOG_LIGHT_ON; PARKING_LIGHT_ON,是,是,是,否/待审
VCC-019,TURN_OFF HORN 关闭,TURN_OFF,HORN,按官方路径区域归并,布尔,,Vehicle.Body.Horn.IsActive,actuator,boolean,,Horn active or inactive. True = Active. False = Inactive.,Android VHAL Android 16 VehicleProperty.aidl (按功能名交叉核验),Vehicle.Body.Horn.IsActive,1,VEHICLE_HORN_ENGAGED,疑似重复,MIRROR_HEATING_OFF; WINDSHIELD_HEATING_OFF; HAZARD_LIGHT_OFF; TURN_INDICATOR_OFF; LOW_BEAM_OFF; HIGH_BEAM_OFF; FOG_LIGHT_OFF; PARKING_LIGHT_OFF,是,是,是,否/待审
VCC-020,TURN_ON LIGHT 开启,TURN_ON,LIGHT,按官方路径区域归并,布尔,,Vehicle.Body.Lights.Backup.IsOn,actuator,boolean,,Indicates if light is on or off. True = On. False = Off.,Android VHAL Android 16 VehicleProperty.aidl (按功能名交叉核验),Vehicle.Body.Lights.Backup.IsOn,1,TURN_SIGNAL_LIGHT_STATE; SEAT_FOOTWELL_LIGHTS_STATE; SEAT_FOOTWELL_LIGHTS_SWITCH; HEADLIGHTS_STATE; HIGH_BEAM_LIGHTS_STATE; FOG_LIGHTS_STATE; HAZARD_LIGHTS_STATE; HEADLIGHTS_SWITCH; HIGH_BEAM_LIGHTS_SWITCH; FOG_LIGHTS_SWITCH; HAZARD_LIGHTS_SWITCH; CABIN_LIGHTS_STATE; CABIN_LIGHTS_SWITCH; READING_LIGHTS_STATE; READING_LIGHTS_SWITCH; STEERING_WHEEL_LIGHTS_STATE; STEERING_WHEEL_LIGHTS_SWITCH; FRONT_FOG_LIGHTS_STATE; FRONT_FOG_LIGHTS_SWITCH; REAR_FOG_LIGHTS_STATE; REAR_FOG_LIGHTS_SWITCH,疑似重复,MIRROR_HEATING_ON; WINDSHIELD_HEATING_ON; HAZARD_LIGHT_ON; TURN_INDICATOR_ON; LOW_BEAM_ON; HIGH_BEAM_ON; FOG_LIGHT_ON; PARKING_LIGHT_ON,是,是,是,否/待审
VCC-021,TURN_OFF LIGHT 关闭,TURN_OFF,LIGHT,按官方路径区域归并,布尔,,Vehicle.Body.Lights.Backup.IsOn,actuator,boolean,,Indicates if light is on or off. True = On. False = Off.,Android VHAL Android 16 VehicleProperty.aidl (按功能名交叉核验),Vehicle.Body.Lights.Backup.IsOn,1,TURN_SIGNAL_LIGHT_STATE; SEAT_FOOTWELL_LIGHTS_STATE; SEAT_FOOTWELL_LIGHTS_SWITCH; HEADLIGHTS_STATE; HIGH_BEAM_LIGHTS_STATE; FOG_LIGHTS_STATE; HAZARD_LIGHTS_STATE; HEADLIGHTS_SWITCH; HIGH_BEAM_LIGHTS_SWITCH; FOG_LIGHTS_SWITCH; HAZARD_LIGHTS_SWITCH; CABIN_LIGHTS_STATE; CABIN_LIGHTS_SWITCH; READING_LIGHTS_STATE; READING_LIGHTS_SWITCH; STEERING_WHEEL_LIGHTS_STATE; STEERING_WHEEL_LIGHTS_SWITCH; FRONT_FOG_LIGHTS_STATE; FRONT_FOG_LIGHTS_SWITCH; REAR_FOG_LIGHTS_STATE; REAR_FOG_LIGHTS_SWITCH,疑似重复,MIRROR_HEATING_OFF; WINDSHIELD_HEATING_OFF; HAZARD_LIGHT_OFF; TURN_INDICATOR_OFF; LOW_BEAM_OFF; HIGH_BEAM_OFF; FOG_LIGHT_OFF; PARKING_LIGHT_OFF,是,是,是,否/待审
VCC-022,TURN_ON LIGHT 开启,TURN_ON,LIGHT,按官方路径区域归并,布尔,,Vehicle.Body.Lights.Beam.High.IsOn,actuator,boolean,,Indicates if light is on or off. True = On. False = Off.,Android VHAL Android 16 VehicleProperty.aidl (按功能名交叉核验),Vehicle.Body.Lights.Beam.High.IsOn,1,TURN_SIGNAL_LIGHT_STATE; SEAT_FOOTWELL_LIGHTS_STATE; SEAT_FOOTWELL_LIGHTS_SWITCH; HEADLIGHTS_STATE; HIGH_BEAM_LIGHTS_STATE; FOG_LIGHTS_STATE; HAZARD_LIGHTS_STATE; HEADLIGHTS_SWITCH; HIGH_BEAM_LIGHTS_SWITCH; FOG_LIGHTS_SWITCH; HAZARD_LIGHTS_SWITCH; CABIN_LIGHTS_STATE; CABIN_LIGHTS_SWITCH; READING_LIGHTS_STATE; READING_LIGHTS_SWITCH; STEERING_WHEEL_LIGHTS_STATE; STEERING_WHEEL_LIGHTS_SWITCH; FRONT_FOG_LIGHTS_STATE; FRONT_FOG_LIGHTS_SWITCH; REAR_FOG_LIGHTS_STATE; REAR_FOG_LIGHTS_SWITCH,疑似重复,MIRROR_HEATING_ON; WINDSHIELD_HEATING_ON; HAZARD_LIGHT_ON; TURN_INDICATOR_ON; LOW_BEAM_ON; HIGH_BEAM_ON; FOG_LIGHT_ON; PARKING_LIGHT_ON,是,是,是,否/待审
VCC-023,TURN_OFF LIGHT 关闭,TURN_OFF,LIGHT,按官方路径区域归并,布尔,,Vehicle.Body.Lights.Beam.High.IsOn,actuator,boolean,,Indicates if light is on or off. True = On. False = Off.,Android VHAL Android 16 VehicleProperty.aidl (按功能名交叉核验),Vehicle.Body.Lights.Beam.High.IsOn,1,TURN_SIGNAL_LIGHT_STATE; SEAT_FOOTWELL_LIGHTS_STATE; SEAT_FOOTWELL_LIGHTS_SWITCH; HEADLIGHTS_STATE; HIGH_BEAM_LIGHTS_STATE; FOG_LIGHTS_STATE; HAZARD_LIGHTS_STATE; HEADLIGHTS_SWITCH; HIGH_BEAM_LIGHTS_SWITCH; FOG_LIGHTS_SWITCH; HAZARD_LIGHTS_SWITCH; CABIN_LIGHTS_STATE; CABIN_LIGHTS_SWITCH; READING_LIGHTS_STATE; READING_LIGHTS_SWITCH; STEERING_WHEEL_LIGHTS_STATE; STEERING_WHEEL_LIGHTS_SWITCH; FRONT_FOG_LIGHTS_STATE; FRONT_FOG_LIGHTS_SWITCH; REAR_FOG_LIGHTS_STATE; REAR_FOG_LIGHTS_SWITCH,疑似重复,MIRROR_HEATING_OFF; WINDSHIELD_HEATING_OFF; HAZARD_LIGHT_OFF; TURN_INDICATOR_OFF; LOW_BEAM_OFF; HIGH_BEAM_OFF; FOG_LIGHT_OFF; PARKING_LIGHT_OFF,是,是,是,否/待审
VCC-024,TURN_ON LIGHT 开启,TURN_ON,LIGHT,按官方路径区域归并,布尔,,Vehicle.Body.Lights.Beam.Low.IsOn,actuator,boolean,,Indicates if light is on or off. True = On. False = Off.,Android VHAL Android 16 VehicleProperty.aidl (按功能名交叉核验),Vehicle.Body.Lights.Beam.Low.IsOn,1,TURN_SIGNAL_LIGHT_STATE; SEAT_FOOTWELL_LIGHTS_STATE; SEAT_FOOTWELL_LIGHTS_SWITCH; HEADLIGHTS_STATE; HIGH_BEAM_LIGHTS_STATE; FOG_LIGHTS_STATE; HAZARD_LIGHTS_STATE; HEADLIGHTS_SWITCH; HIGH_BEAM_LIGHTS_SWITCH; FOG_LIGHTS_SWITCH; HAZARD_LIGHTS_SWITCH; CABIN_LIGHTS_STATE; CABIN_LIGHTS_SWITCH; READING_LIGHTS_STATE; READING_LIGHTS_SWITCH; STEERING_WHEEL_LIGHTS_STATE; STEERING_WHEEL_LIGHTS_SWITCH; FRONT_FOG_LIGHTS_STATE; FRONT_FOG_LIGHTS_SWITCH; REAR_FOG_LIGHTS_STATE; REAR_FOG_LIGHTS_SWITCH,疑似重复,MIRROR_HEATING_ON; WINDSHIELD_HEATING_ON; HAZARD_LIGHT_ON; TURN_INDICATOR_ON; LOW_BEAM_ON; HIGH_BEAM_ON; FOG_LIGHT_ON; PARKING_LIGHT_ON,是,是,是,否/待审
VCC-025,TURN_OFF LIGHT 关闭,TURN_OFF,LIGHT,按官方路径区域归并,布尔,,Vehicle.Body.Lights.Beam.Low.IsOn,actuator,boolean,,Indicates if light is on or off. True = On. False = Off.,Android VHAL Android 16 VehicleProperty.aidl (按功能名交叉核验),Vehicle.Body.Lights.Beam.Low.IsOn,1,TURN_SIGNAL_LIGHT_STATE; SEAT_FOOTWELL_LIGHTS_STATE; SEAT_FOOTWELL_LIGHTS_SWITCH; HEADLIGHTS_STATE; HIGH_BEAM_LIGHTS_STATE; FOG_LIGHTS_STATE; HAZARD_LIGHTS_STATE; HEADLIGHTS_SWITCH; HIGH_BEAM_LIGHTS_SWITCH; FOG_LIGHTS_SWITCH; HAZARD_LIGHTS_SWITCH; CABIN_LIGHTS_STATE; CABIN_LIGHTS_SWITCH; READING_LIGHTS_STATE; READING_LIGHTS_SWITCH; STEERING_WHEEL_LIGHTS_STATE; STEERING_WHEEL_LIGHTS_SWITCH; FRONT_FOG_LIGHTS_STATE; FRONT_FOG_LIGHTS_SWITCH; REAR_FOG_LIGHTS_STATE; REAR_FOG_LIGHTS_SWITCH,疑似重复,MIRROR_HEATING_OFF; WINDSHIELD_HEATING_OFF; HAZARD_LIGHT_OFF; TURN_INDICATOR_OFF; LOW_BEAM_OFF; HIGH_BEAM_OFF; FOG_LIGHT_OFF; PARKING_LIGHT_OFF,是,是,是,否/待审
VCC-026,TURN_ON LIGHT 开启,TURN_ON,LIGHT,按官方路径区域归并,布尔,ACTIVE; ADAPTIVE; INACTIVE,Vehicle.Body.Lights.Brake.IsActive,actuator,string,,Indicates if break-light is active. INACTIVE means lights are off. ACTIVE means lights are on. ADAPTIVE means that break-light is indicating emergency-breaking.,Android VHAL Android 16 VehicleProperty.aidl (按功能名交叉核验),Vehicle.Body.Lights.Brake.IsActive,1,TURN_SIGNAL_LIGHT_STATE; SEAT_FOOTWELL_LIGHTS_STATE; SEAT_FOOTWELL_LIGHTS_SWITCH; HEADLIGHTS_STATE; HIGH_BEAM_LIGHTS_STATE; FOG_LIGHTS_STATE; HAZARD_LIGHTS_STATE; HEADLIGHTS_SWITCH; HIGH_BEAM_LIGHTS_SWITCH; FOG_LIGHTS_SWITCH; HAZARD_LIGHTS_SWITCH; CABIN_LIGHTS_STATE; CABIN_LIGHTS_SWITCH; READING_LIGHTS_STATE; READING_LIGHTS_SWITCH; STEERING_WHEEL_LIGHTS_STATE; STEERING_WHEEL_LIGHTS_SWITCH; FRONT_FOG_LIGHTS_STATE; FRONT_FOG_LIGHTS_SWITCH; REAR_FOG_LIGHTS_STATE; REAR_FOG_LIGHTS_SWITCH,疑似重复,MIRROR_HEATING_ON; WINDSHIELD_HEATING_ON; HAZARD_LIGHT_ON; TURN_INDICATOR_ON; LOW_BEAM_ON; HIGH_BEAM_ON; FOG_LIGHT_ON; PARKING_LIGHT_ON,是,是,是,否/待审
VCC-027,TURN_OFF LIGHT 关闭,TURN_OFF,LIGHT,按官方路径区域归并,布尔,ACTIVE; ADAPTIVE; INACTIVE,Vehicle.Body.Lights.Brake.IsActive,actuator,string,,Indicates if break-light is active. INACTIVE means lights are off. ACTIVE means lights are on. ADAPTIVE means that break-light is indicating emergency-breaking.,Android VHAL Android 16 VehicleProperty.aidl (按功能名交叉核验),Vehicle.Body.Lights.Brake.IsActive,1,TURN_SIGNAL_LIGHT_STATE; SEAT_FOOTWELL_LIGHTS_STATE; SEAT_FOOTWELL_LIGHTS_SWITCH; HEADLIGHTS_STATE; HIGH_BEAM_LIGHTS_STATE; FOG_LIGHTS_STATE; HAZARD_LIGHTS_STATE; HEADLIGHTS_SWITCH; HIGH_BEAM_LIGHTS_SWITCH; FOG_LIGHTS_SWITCH; HAZARD_LIGHTS_SWITCH; CABIN_LIGHTS_STATE; CABIN_LIGHTS_SWITCH; READING_LIGHTS_STATE; READING_LIGHTS_SWITCH; STEERING_WHEEL_LIGHTS_STATE; STEERING_WHEEL_LIGHTS_SWITCH; FRONT_FOG_LIGHTS_STATE; FRONT_FOG_LIGHTS_SWITCH; REAR_FOG_LIGHTS_STATE; REAR_FOG_LIGHTS_SWITCH,疑似重复,MIRROR_HEATING_OFF; WINDSHIELD_HEATING_OFF; HAZARD_LIGHT_OFF; TURN_INDICATOR_OFF; LOW_BEAM_OFF; HIGH_BEAM_OFF; FOG_LIGHT_OFF; PARKING_LIGHT_OFF,是,是,是,否/待审
VCC-028,TURN_ON LIGHT 开启,TURN_ON,LIGHT,按官方路径区域归并,布尔,,Vehicle.Body.Lights.DirectionIndicator.Left.IsSignaling; Vehicle.Body.Lights.DirectionIndicator.Right.IsSignaling,actuator,boolean,,Indicates if light is signaling or off. True = signaling. False = Off.,Android VHAL Android 16 VehicleProperty.aidl (按功能名交叉核验),Vehicle.Body.Lights.DirectionIndicator.IsSignaling,2,TURN_SIGNAL_LIGHT_STATE; SEAT_FOOTWELL_LIGHTS_STATE; SEAT_FOOTWELL_LIGHTS_SWITCH; HEADLIGHTS_STATE; HIGH_BEAM_LIGHTS_STATE; FOG_LIGHTS_STATE; HAZARD_LIGHTS_STATE; HEADLIGHTS_SWITCH; HIGH_BEAM_LIGHTS_SWITCH; FOG_LIGHTS_SWITCH; HAZARD_LIGHTS_SWITCH; CABIN_LIGHTS_STATE; CABIN_LIGHTS_SWITCH; READING_LIGHTS_STATE; READING_LIGHTS_SWITCH; STEERING_WHEEL_LIGHTS_STATE; STEERING_WHEEL_LIGHTS_SWITCH; FRONT_FOG_LIGHTS_STATE; FRONT_FOG_LIGHTS_SWITCH; REAR_FOG_LIGHTS_STATE; REAR_FOG_LIGHTS_SWITCH,疑似重复,MIRROR_HEATING_ON; WINDSHIELD_HEATING_ON; HAZARD_LIGHT_ON; TURN_INDICATOR_ON; LOW_BEAM_ON; HIGH_BEAM_ON; FOG_LIGHT_ON; PARKING_LIGHT_ON,是,是,是,否/待审
VCC-029,TURN_OFF LIGHT 关闭,TURN_OFF,LIGHT,按官方路径区域归并,布尔,,Vehicle.Body.Lights.DirectionIndicator.Left.IsSignaling; Vehicle.Body.Lights.DirectionIndicator.Right.IsSignaling,actuator,boolean,,Indicates if light is signaling or off. True = signaling. False = Off.,Android VHAL Android 16 VehicleProperty.aidl (按功能名交叉核验),Vehicle.Body.Lights.DirectionIndicator.IsSignaling,2,TURN_SIGNAL_LIGHT_STATE; SEAT_FOOTWELL_LIGHTS_STATE; SEAT_FOOTWELL_LIGHTS_SWITCH; HEADLIGHTS_STATE; HIGH_BEAM_LIGHTS_STATE; FOG_LIGHTS_STATE; HAZARD_LIGHTS_STATE; HEADLIGHTS_SWITCH; HIGH_BEAM_LIGHTS_SWITCH; FOG_LIGHTS_SWITCH; HAZARD_LIGHTS_SWITCH; CABIN_LIGHTS_STATE; CABIN_LIGHTS_SWITCH; READING_LIGHTS_STATE; READING_LIGHTS_SWITCH; STEERING_WHEEL_LIGHTS_STATE; STEERING_WHEEL_LIGHTS_SWITCH; FRONT_FOG_LIGHTS_STATE; FRONT_FOG_LIGHTS_SWITCH; REAR_FOG_LIGHTS_STATE; REAR_FOG_LIGHTS_SWITCH,疑似重复,MIRROR_HEATING_OFF; WINDSHIELD_HEATING_OFF; HAZARD_LIGHT_OFF; TURN_INDICATOR_OFF; LOW_BEAM_OFF; HIGH_BEAM_OFF; FOG_LIGHT_OFF; PARKING_LIGHT_OFF,是,是,是,否/待审
VCC-030,TURN_ON LIGHT 开启,TURN_ON,LIGHT,按官方路径区域归并,布尔,,Vehicle.Body.Lights.Fog.Rear.IsOn; Vehicle.Body.Lights.Fog.Front.IsOn,actuator,boolean,,Indicates if light is on or off. True = On. False = Off.,Android VHAL Android 16 VehicleProperty.aidl (按功能名交叉核验),Vehicle.Body.Lights.Fog.IsOn,2,TURN_SIGNAL_LIGHT_STATE; SEAT_FOOTWELL_LIGHTS_STATE; SEAT_FOOTWELL_LIGHTS_SWITCH; HEADLIGHTS_STATE; HIGH_BEAM_LIGHTS_STATE; FOG_LIGHTS_STATE; HAZARD_LIGHTS_STATE; HEADLIGHTS_SWITCH; HIGH_BEAM_LIGHTS_SWITCH; FOG_LIGHTS_SWITCH; HAZARD_LIGHTS_SWITCH; CABIN_LIGHTS_STATE; CABIN_LIGHTS_SWITCH; READING_LIGHTS_STATE; READING_LIGHTS_SWITCH; STEERING_WHEEL_LIGHTS_STATE; STEERING_WHEEL_LIGHTS_SWITCH; FRONT_FOG_LIGHTS_STATE; FRONT_FOG_LIGHTS_SWITCH; REAR_FOG_LIGHTS_STATE; REAR_FOG_LIGHTS_SWITCH,疑似重复,MIRROR_HEATING_ON; WINDSHIELD_HEATING_ON; HAZARD_LIGHT_ON; TURN_INDICATOR_ON; LOW_BEAM_ON; HIGH_BEAM_ON; FOG_LIGHT_ON; PARKING_LIGHT_ON,是,是,是,否/待审
